,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count,smiles
0,0,4,3,0,0,5,0,1,0,0,0.0,1349.4830000000002,7,8.0,10.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C=CCO)cc2)CO)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c5c(C(CO)C(c6cc(OC)c(O)c(OC)c6)O5)c4)cc3)cc2)c(OC)c1
0,0,4,5,0,0,6,0,1,1,0,0.0,1767.925,9,9.0,14.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C(c4c(O3)c(OC)cc(CC(Oc3c(OC)cc(C5C6COC(C6CO5)c5cc(OC)c(O)c(OC)c5)cc3OC)CO)c4)CO)cc2OC)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)c(OC)c3)cc2)c(OC)c1
0,1,2,2,0,0,2,0,1,1,0,0.0,927.0089999999999,5,5.0,6.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(O)c(OC)c2)cc1)Cc1cc(OC)c(OC(CO)Cc2ccc3c(C(CO)C(c4cc(OC)c(O)c(OC)c4)O3)c2)cc1
0,0,4,3,0,0,5,0,0,1,0,0.0,1349.4830000000002,7,7.0,10.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)c(OC)c2)c(OC)c1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)c(OC)c3)cc2)cc1
0,0,2,4,0,0,4,0,1,0,0,0.0,1199.306,6,7.0,10.0,OCC1C(Oc2c(OC)cc(CC(Oc3c(OC)cc(C=CCO)cc3OC)CO)cc21)c1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)c(OC)c4)cc3)c(OC)c2)c(OC)c1
0,0,4,3,0,0,5,0,0,1,0,0.0,1349.4830000000002,7,7.0,10.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)c(OC)c3)c(OC)c2)cc1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)c(OC)c2)cc1
0,0,3,1,0,0,3,0,0,0,0,0.0,750.838,4,5.0,5.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C=CCO)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)c(OC)c2)cc1
0,0,3,1,0,0,3,0,0,0,0,0.0,750.838,4,5.0,5.0,OCC(Oc1c(OC)cc(C=CCO)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)cc2)cc1
0,1,1,3,0,0,4,0,0,0,0,0.0,961.067,5,6.0,7.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C=CCO)cc2OC)CO)cc1OC)Cc1ccc(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)c(OC)c2)cc1
0,0,4,4,0,0,6,0,0,1,0,0.0,1559.712,8,8.0,12.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(CC(Oc3c(OC)cc(C4C5COC(C5CO4)c4cc(OC)c(O)c(OC)c4)cc3OC)CO)cc2OC)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)c(OC)c3)cc2)cc1
